,rank,tld
0,1,com
1,2,net
2,4,org
3,5,io
4,8,ms
5,9,goog
6,13,co
7,15,us
8,16,tv
9,17,xyz
10,18,apple
11,19,me
12,22,news
13,24,buzz
14,25,eu
15,26,cn
16,28,cloud
17,29,ai
18,30,dev
19,31,gov
20,32,cc
21,33,app
22,34,uk
23,35,fi
24,38,gg
25,39,de
26,40,google
27,42,jp
28,46,mobi
29,47,ru
30,48,network
31,49,be
32,51,link
33,52,info
34,53,tech
35,54,it
36,55,gt
37,56,media
38,57,edu
39,58,im
40,59,fm
41,61,asia
42,62,id
43,65,site
44,66,kr
45,67,in
46,68,market
47,69,ca
48,71,pl
49,72,biz
50,74,to
51,75,arpa
52,76,ly
53,77,ac
54,78,live
55,79,icu
56,83,fr
57,84,au
58,87,nl
59,88,pub
60,90,sg
61,96,mx
62,97,services
63,99,vn
64,100,pro
65,101,am
66,102,solutions
67,103,se
68,104,online
69,105,video
70,106,es
71,107,my
72,108,la
73,110,tr
74,111,ph
75,112,br
76,115,school
77,116,systems
78,117,works
79,119,tools
80,122,one
81,123,at
82,124,sk
83,125,microsoft
84,126,bid
85,127,ch
86,128,top
87,130,so
88,131,is
89,132,ir
90,134,life
91,135,world
92,137,th
93,138,digital
94,140,chat
95,142,tw
96,145,fox
97,148,aws
98,149,bi
99,150,hk
100,152,fyi
101,153,pe
102,155,store
103,156,onion
104,157,club
105,158,ee
106,159,cz
107,160,support
108,161,global
109,162,il
110,164,art
111,165,delivery
112,167,email
113,170,ad
114,171,games
115,172,host
116,173,no
117,175,si
118,176,click
119,177,sh
120,178,nz
121,179,ws
122,181,pt
123,184,ie
124,185,zone
125,188,team
126,191,gl
127,192,ua
128,196,al
129,198,page
130,199,chrome
131,200,shop
132,204,gle
133,205,software
134,206,ar
135,207,mil
136,209,dk
137,212,gr
138,213,ro
139,217,space
140,218,build
141,220,hu
142,221,lu
143,222,vip
144,223,st
145,224,cr
146,225,design
147,226,do
148,229,cl
149,230,website
150,231,house
151,232,health
152,233,uno
153,234,md
154,235,re
155,236,bz
156,237,work
157,238,technology
158,239,pk
159,243,fun
160,245,aig
161,247,as
162,248,ae
163,249,studio
164,251,run
165,252,guru
166,253,lt
167,254,ec
168,256,li
169,257,int
170,258,tk
171,259,hn
172,260,stream
173,261,jobs
174,262,sa
175,263,events
176,265,pw
177,266,bg
178,268,codes
179,269,management
180,270,kz
181,271,ge
182,273,today
183,275,name
184,276,rs
185,278,rocks
186,280,hr
187,281,nu
188,282,by
189,284,ninja
190,286,vc
191,287,lol
192,288,ng
193,290,ki
194,291,eg
195,292,lv
196,293,pics
197,294,ve
198,298,box
199,301,ma
200,307,agency
201,311,science
202,312,ag
203,314,plus
204,315,su
205,316,sc
206,317,tm
207,318,uz
208,320,sv
209,321,tl
210,323,ke
211,326,vg
212,327,pa
213,330,sap
214,331,casa
215,332,gs
216,334,lk
217,339,uy
218,342,cat
219,343,blog
220,349,sky
221,350,engineering
222,352,qa
223,353,cf
224,354,pr
225,355,cm
226,356,coop
227,360,bio
228,361,ml
229,362,watch
230,363,monster
231,364,group
232,366,ba
233,367,bank
234,368,help
235,369,py
236,370,xxx
237,374,tt
238,376,press
239,377,az
240,379,kg
241,380,gy
242,381,iq
243,384,ga
244,386,cx
245,387,mk
246,389,cy
247,391,win
248,393,ps
249,396,social
250,398,aero
251,399,tn
252,401,ht
253,402,ink
254,403,business
255,405,mn
256,406,gd
257,407,bo
258,408,gh
259,409,om
260,410,ni
261,412,ne
262,413,menu
263,415,ug
264,417,ci
265,418,mg
266,421,mt
267,424,cu
268,430,mu
269,432,mv
270,434,tz
271,435,jo
272,436,zw
273,437,dm
274,439,sb
275,441,wiki
276,443,rw
277,445,bs
278,447,sn
279,450,kw
280,451,lb
281,452,bot
282,453,dz
283,455,ls
284,456,bh
285,459,na
286,460,af
287,462,je
288,464,hosting
289,465,ao
290,471,bn
291,472,mz
292,473,ltd
293,474,best
294,475,vu
295,476,bw
296,478,cd
297,479,radio
298,482,et
299,484,vi
300,485,movie
301,489,bet
302,490,nr
303,492,zm
304,494,tj
305,497,sr
306,499,cv
307,500,fj
308,501,bj
309,502,sl
310,505,sm
311,506,nf
312,507,bt
313,509,pn
314,510,gi
315,513,tg
316,514,bf
317,516,dj
318,518,gm
319,521,mw
320,522,download
321,524,supply
322,526,care
323,527,cg
324,528,gp
325,534,td
326,537,travel
327,540,sx
328,553,photos
329,557,tc
330,562,cfd
331,563,center
332,565,cool
333,567,cyou
334,569,moe
335,572,direct
336,575,land
337,577,ooo
338,578,mp
339,579,dhl
340,581,schwarz
341,582,nyc
342,585,marketing
343,590,onl
344,592,black
345,593,lat
346,594,sbs
347,596,cafe
348,601,beer
349,602,energy
350,604,ovh
351,605,finance
352,606,tf
353,609,wtf
354,611,academy
355,615,money
356,616,scot
357,622,expert
358,623,pm
359,625,london
360,628,report
361,629,gratis
362,630,tips
363,632,cam
364,634,audio
365,636,rest
366,643,blue
367,647,fit
368,652,wf
369,653,education
370,654,trade
371,655,tube
372,657,law
373,659,inc
374,661,community
375,662,love
376,666,company
377,667,guide
378,670,golf
379,672,xn--p1ai
380,673,church
381,679,game
382,680,show
383,683,exchange
384,684,bm
385,689,gq
386,691,quest
387,692,party
388,695,security
389,697,farm
390,699,city
391,703,homes
392,704,training
393,706,photo
394,708,bike
395,709,partners
396,710,town
397,711,meet
398,713,earth
399,714,rip
400,715,beauty
401,718,gold
402,719,red
403,721,yt
404,722,bond
405,725,style
406,727,museum
407,728,foundation
408,733,autos
409,735,auto
410,736,llc
411,746,vision
412,747,coffee
413,748,pictures
414,749,mom
415,751,audi
416,753,android
417,756,bar
418,759,healthcare
419,761,desi
420,762,statefarm
421,763,porn
422,767,abbott
423,768,gallery
424,770,boats
425,772,cash
426,775,canon
427,783,new
428,786,hair
429,788,careers
430,790,capital
431,791,ventures
432,792,dog
433,794,wales
434,798,men
435,799,legal
436,802,day
437,807,solar
438,810,ky
439,813,africa
440,814,sex
441,816,pet
442,818,tel
443,823,vet
444,824,va
445,826,fish
446,833,uol
447,835,directory
448,838,barclays
449,839,bradesco
450,840,skin
451,845,loan
452,847,domains
453,849,tokyo
454,851,express
455,855,amex
456,857,berlin
457,858,eco
458,861,eus
459,864,ntt
460,866,globo
461,867,international
462,871,realtor
463,872,garden
464,875,deals
465,876,how
466,881,family
467,883,date
468,890,bnpparibas
469,894,mo
470,896,university
471,899,casino
472,901,place
473,907,bmw
474,908,fan
475,910,fitness
476,915,cymru
477,916,dental
478,917,sale
479,918,lgbt
480,919,wine
481,920,wang
482,931,ax
483,932,ist
484,933,cards
485,934,fund
486,935,rent
487,936,fashion
488,940,fo
489,948,paris
490,952,yachts
491,953,vegas
492,954,army
493,956,reviews
494,958,markets
495,960,glass
496,961,photography
497,962,hermes
498,963,lc
499,964,sbi
500,965,camera
501,970,swiss
502,971,gay
503,985,motorcycles
504,986,barcelona
505,990,ads
506,992,sport
507,993,institute
508,997,green
509,1000,pharmacy
510,1002,cab
511,1005,fans
512,1009,toys
513,1010,parts
514,1011,restaurant
515,1015,zip
516,1021,cpa
517,1024,tours
518,1025,dating
519,1027,coach
520,1029,film
521,1030,shopping
522,1032,bayern
523,1034,pizza
524,1035,consulting
525,1036,nrw
526,1038,taxi
527,1047,gmbh
528,1049,basketball
529,1050,kim
530,1051,theater
531,1054,industries
532,1056,clinic
533,1060,tax
534,1061,review
535,1065,band
536,1070,racing
537,1078,xin
538,1080,abb
539,1081,boutique
540,1082,gal
541,1085,makeup
542,1086,nc
543,1087,insure
544,1094,hm
545,1097,cw
546,1101,sexy
547,1102,hamburg
548,1109,football
549,1112,cars
550,1117,madrid
551,1120,financial
552,1123,camp
553,1126,mov
554,1130,ngo
555,1132,loans
556,1141,amazon
557,1146,kitchen
558,1147,vin
559,1153,mc
560,1156,gdn
561,1160,brussels
562,1168,ren
563,1173,wien
564,1174,istanbul
565,1182,sncf
566,1184,xn--6frz82g
567,1185,clothing
568,1186,moscow
569,1187,immo
570,1191,bb
571,1193,pf
572,1201,limited
573,1213,gift
574,1219,yoga
575,1221,next
576,1223,courses
577,1230,vote
578,1233,sy
579,1234,graphics
580,1237,pink
581,1238,coupons
582,1239,recipes
583,1242,koeln
584,1243,tui
585,1244,study
586,1246,rugby
587,1250,ltda
588,1255,amsterdam
589,1268,promo
590,1271,properties
591,1272,diet
592,1276,xn--p1acf
593,1277,bingo
594,1278,gives
595,1283,rentals
596,1286,sydney
597,1287,kn
598,1288,horse
599,1293,webcam
600,1294,youtube
601,1299,dance
602,1305,ski
603,1307,surf
604,1315,bauhaus
605,1321,estate
606,1337,total
607,1341,schule
608,1344,auction
609,1355,kred
610,1358,kiwi
611,1360,trading
612,1366,gifts
613,1367,lighting
614,1368,tattoo
615,1375,builders
616,1377,quebec
617,1380,jetzt
618,1387,construction
619,1407,haus
620,1409,yandex
621,1416,enterprises
622,1417,jewelry
623,1430,bbva
624,1438,bzh
625,1451,computer
626,1455,futbol
627,1460,komatsu
628,1474,ice
629,1490,kpmg
630,1491,wedding
631,1496,prod
632,1499,faith
633,1515,claims
634,1524,engineer
635,1534,sd
636,1554,arab
637,1571,repair
638,1577,equipment
639,1584,miami
640,1586,office
641,1587,sharp
642,1606,productions
643,1623,srl
644,1632,college
645,1639,insurance
646,1652,aw
647,1669,post
648,1670,taipei
649,1693,kpn
650,1696,realestate
651,1727,credit
652,1737,discount
653,1749,adult
654,1750,brother
655,1778,salon
656,1781,hsbc
657,1789,mortgage
658,1793,boo
659,1805,fail
660,1818,investments
661,1835,forsale
662,1844,storage
663,1845,doctor
664,1846,guardian
665,1847,leclerc
666,1851,edeka
667,1853,car
668,1857,baby
669,1858,shoes
670,1861,melbourne
671,1864,bible
672,1871,ceo
673,1873,contact
674,1881,moda
675,1883,tirol
676,1884,poker
677,1885,sz
678,1886,lawyer
679,1887,bargains
680,1893,frl
681,1898,archi
682,1900,gf
683,1901,mba
684,1902,barclaycard
685,1907,krd
686,1912,med
687,1917,soccer
688,1920,hockey
689,1921,km
690,1923,mr
691,1932,saxo
692,1933,toyota
693,1942,rodeo
694,1947,supplies
695,1957,holdings
696,1960,country
697,1979,cisco
698,1980,sony
699,1989,gw
700,1991,diamonds
701,1993,here
702,2002,property
703,2003,ye
704,2005,limo
705,2006,apartments
706,2011,observer
707,2015,ruhr
708,2025,furniture
709,2032,rehab
710,2038,xn--80asehdb
711,2042,voyage
712,2043,broker
713,2052,irish
714,2060,singles
715,2063,corsica
716,2070,cricket
717,2071,crs
718,2074,sucks
719,2080,cleaning
720,2085,cruises
721,2087,vlaanderen
722,2088,you
723,2089,mobile
724,2090,reisen
725,2091,boston
726,2095,holiday
727,2099,charity
728,2102,vacations
729,2110,kaufen
730,2111,weir
731,2112,xn--tckwe
732,2114,toshiba
733,2122,okinawa
734,2126,gop
735,2130,capetown
736,2134,kp
737,2141,tennis
738,2146,catering
739,2151,deloitte
740,2153,tienda
741,2155,saarland
742,2156,tickets
743,2158,associates
744,2160,luxury
745,2162,bing
746,2166,landrover
747,2170,lr
748,2174,accountant
749,2180,xn--fiqs8s
750,2184,flights
751,2186,abudhabi
752,2198,neustar
753,2199,gent
754,2204,ong
755,2208,dentist
756,2216,itau
757,2221,kids
758,2226,scb
759,2229,plumbing
760,2231,xn--55qx5d
761,2232,target
762,2235,flir
763,2243,fishing
764,2248,degree
765,2251,azure
766,2252,realty
767,2253,search
768,2254,citic
769,2258,soy
770,2263,cologne
771,2265,villas
772,2269,foo
773,2282,goo
774,2284,xn--3ds443g
775,2286,career
776,2293,hospital
777,2295,mq
778,2302,attorney
779,2306,mattel
780,2310,ibm
781,2315,weber
782,2317,xn--6qq986b3xl
783,2318,xn--mk1bu44c
784,2319,analytics
785,2320,cheap
786,2325,florist
787,2328,xn--90ais
788,2329,contractors
789,2333,mango
790,2340,gn
791,2354,organic
792,2355,actor
793,2359,windows
794,2365,flowers
795,2368,exposed
796,2370,ss
797,2373,nissan
798,2386,java
799,2387,lease
800,2396,immobilien
801,2409,christmas
802,2415,flickr
803,2428,tires
804,2429,voto
805,2433,cooking
806,2434,politie
807,2438,alsace
808,2445,luxe
809,2451,xn--ses554g
810,2454,nagoya
811,2455,pay
812,2472,now
813,2473,chase
814,2482,xn--80adxhks
815,2483,xn--j1amh
816,2485,ford
817,2496,bv
818,2503,crown
819,2507,mh
820,2509,physio
821,2517,softbank
822,2524,viajes
823,2530,sanofi
824,2531,yokohama
825,2538,xn--czr694b
826,2539,accountants
827,2541,extraspace
828,2545,aq
829,2556,xn--io0a7i
830,2559,rio
831,2563,forum
832,2564,giving
833,2567,rsvp
834,2568,sandvik
835,2570,xn--t60b56a
836,2571,feedback
837,2581,creditcard
838,2586,ftr
839,2588,maison
840,2589,reise
841,2593,navy
842,2595,xn--o3cw4h
843,2597,itv
844,2600,cern
845,2608,man
846,2611,abc
847,2613,honda
848,2615,teva
849,2622,statebank
850,2623,surgery
851,2625,condos
852,2628,philips
853,2639,durban
854,2640,gb
855,2652,xn--c1avg
856,2658,spa
857,2659,xn--9dbq2a
858,2661,dad
859,2669,open
860,2670,republican
861,2687,gu
862,2690,xn--czru2d
863,2691,democrat
864,2699,sarl
865,2704,hitachi
866,2705,nico
867,2712,free
868,2713,godaddy
869,2714,kyoto
870,2721,gmx
871,2725,schmidt
872,2728,data
873,2732,osaka
874,2738,nexus
875,2744,llp
876,2747,tatar
877,2753,dvag
878,2758,blackfriday
879,2768,forex
880,2771,orange
881,2784,pictet
882,2785,prof
883,2796,xn--fiqz9s
884,2802,jnj
885,2811,gmail
886,2816,hiphop
887,2818,joburg
888,2822,memorial
889,2850,xn--80aswg
890,2859,vanguard
891,2862,guitars
892,2873,fage
893,2880,protection
894,2881,vodka
895,2886,smile
896,2887,woodside
897,2892,msd
898,2896,reit
899,2898,stockholm
900,2914,xn--3e0b707e
901,2917,map
902,2921,xn--node
903,2924,gripe
904,2928,panasonic
905,2939,ing
906,2940,lilly
907,2944,seat
908,2945,shiksha
909,2956,xn--d1acj3b
910,2976,yahoo
911,2986,xn--90ae
912,2996,axa
913,3002,monash
914,3005,samsung
915,3010,hotmail
916,3050,toray
917,3057,fujitsu
918,3059,juegos
919,3062,nra
920,3065,sj
921,3066,afl
922,3082,xn--fiq228c5hs
923,3083,xn--q9jyb4c
924,3091,jll
925,3098,xn--j6w193g
926,3100,abogado
927,3116,pioneer
928,3134,ryukyu
929,3136,xn--vuq861b
930,3140,creditunion
931,3142,esq
932,3150,mma
933,3155,play
934,3158,xn--vhquv
935,3161,call
936,3167,lamborghini
937,3168,lidl
938,3177,trust
939,3182,dealer
940,3213,zuerich
941,3221,hiv
942,3239,jcb
943,3246,phd
944,3266,ups
945,3268,xn--g2xx48c
946,3280,nike
947,3284,phone
948,3288,versicherung
949,3290,watches
950,3295,etisalat
951,3298,ismaili
952,3311,select
953,3316,xn--90a3ac
954,3319,jio
955,3322,read
956,3330,xn--5tzm5g
957,3331,xn--mxtq1m
958,3333,cal
959,3340,ikano
960,3365,netbank
961,3372,xn--rhqv96g
962,3374,akdn
963,3375,bom
964,3378,compare
965,3394,xn--3bst00m
966,3395,abbvie
967,3396,airforce
968,3410,fast
969,3428,rich
970,3432,star
971,3438,xn--czrs0t
972,3447,drive
973,3452,like
974,3459,save
975,3462,smart
976,3466,williamhill
977,3467,xn--hxt814e
978,3477,commbank
979,3484,hotels
980,3488,mit
981,3496,secure
982,3500,xn--fjq720a
983,3501,bbc
984,3520,theatre
985,3543,voting
986,3546,xn--h2brj9c
987,3553,circle
988,3567,music
989,3571,nab
990,3578,sener
991,3582,talk
992,3599,jaguar
993,3603,moi
994,3610,shell
995,3614,wtc
996,3615,xn--unup4y
997,3616,aaa
998,3619,bentley
999,3621,broadway
1000,3625,docs
1001,3629,hot
1002,3630,hyatt
1003,3651,citi
1004,3665,netflix
1005,3678,xn--4dbrk0ce
1006,3702,safe
1007,3706,vivo
1008,3708,xn--cck2b3b
1009,3714,cba
1010,3718,delta
1011,3720,eat
1012,3722,fire
1013,3726,hisamitsu
1014,3739,mini
1015,3744,sas
1016,3749,weather
1017,3751,xn--kput3i
1018,3755,dot
1019,3775,pfizer
1020,3787,xn--fct429k
1021,3788,xn--qxam
1022,3789,xn--y9a3aq
1023,3791,allfinanz
1024,3793,channel
1025,3795,comcast
1026,3796,cuisinella
1027,3809,pid
1028,3814,sca
